Date,G_Open,G_High,G_Low,G_Close,G_Adj Close,G_Vol.,US_Price,US_Open,US_High,US_Low,US_Vol.,US_Change %
2021-04-22,216.059998,216.490005,215.839996,215.850006,215.850006,20044,90.593,90.865,91.105,90.525,22950,-0.33%
2021-04-21,214.789993,216.190002,214.759995,216.139999,216.139999,23509,90.892,90.85,91.045,90.785,12890,0.12%
2021-04-20,213.190002,213.190002,211.770004,212.190002,212.190002,18557,90.78,90.825,90.965,90.655,19610,-0.06%
2021-04-19,215.059998,215.850006,214.479996,214.600006,214.600006,46929,90.839,91.285,91.285,90.78,19430,-0.53%
2021-04-16,212.860001,213.190002,212.669998,212.929993,212.929993,30210,91.321,91.085,91.415,90.97,21690,0.21%
2021-04-15,210.039993,211.089996,209.669998,210.960007,210.960007,33093,91.129,91.21,91.425,91.065,21100,-0.11%
2021-04-14,213.410004,213.720001,212.089996,212.429993,212.429993,12949,91.227,91.04,91.27,90.84,25950,0.19%
2021-04-13,212.199997,213.25,212.100006,212.199997,212.199997,18271,91.05,91.575,91.75,91.025,32380,-0.54%
2021-04-12,213.490005,213.960007,213.289993,213.550003,213.550003,22682,91.544,91.65,91.81,91.47,18840,-0.08%
2021-04-09,214,214.929993,213.970001,214.929993,214.929993,22196,91.618,91.63,91.745,91.495,20610,-0.06%
2021-04-08,213.130005,213.399994,212.850006,213.339996,213.339996,15424,91.674,91.805,91.815,91.565,14650,-0.19%
2021-04-07,212.300003,212.520004,211.669998,212.259995,212.259995,13440,91.844,92.095,92.365,91.785,28950,-0.33%
2021-04-06,211.300003,212.389999,210.910004,212.279999,212.279999,30074,92.144,92.2,92.335,92.005,25920,-0.02%
2021-04-01,210.169998,212.039993,210.039993,212.039993,212.039993,14576,92.16,92.075,92.43,92.035,19960,0.10%
2021-03-31,207.179993,207.179993,206.199997,206.539993,206.539993,19261,92.069,92.445,92.505,92.01,19040,-0.44%
2021-03-30,209.520004,209.830002,208.139999,208.470001,208.470001,16556,92.472,92.3,92.515,92.155,18610,0.13%
2021-03-29,211.949997,212.339996,211.5,211.649994,211.649994,21698,92.348,92.58,92.8,92.285,20490,-0.27%
2021-03-26,212.800003,212.910004,211.570007,211.789993,211.789993,10072,92.595,93.01,93.13,92.56,27780,-0.49%
2021-03-25,213.5,213.690002,212.800003,213.550003,213.550003,13059,93.051,92.91,93.125,92.84,5780,0.11%
2021-03-24,211.529999,213.350006,211.529999,213.350006,213.350006,14177,92.947,93.23,93.365,92.89,22120,-0.31%
2021-03-23,210.210007,210.740005,209.75,210.600006,210.600006,22035,93.236,93.275,93.47,93.005,20930,-0.09%
